biology.csv,0,72
,1,104
,2,143
,3,178
,4,229
,5,261
,6,294
,7,350
,8,454
business.csv,0,50
,1,83
,2,120
,3,147
,4,174
,5,203
,6,255
,7,293
,8,437
chemistry.csv,0,53
,1,102
,2,145
,3,187
,4,222
,5,253
,6,268
,7,285
,8,303
computer science.csv,0,68
,1,126
,2,197
,3,236
,4,285
,5,312
,6,333
,7,362
,8,412
culture.csv,0,46
,1,61
,2,82
,3,102
,4,121
,5,145
,6,180
,7,227
,8,332
economics.csv,0,124
,1,209
,2,305
,3,383
,4,467
,5,526
,6,602
,7,664
,8,742
engineering.csv,0,32
,1,45
,2,60
,3,76
,4,90
,5,101
,6,109
,7,124
,8,145
geography.csv,0,22
,1,34
,2,48
,3,55
,4,79
,5,95
,6,130
,7,149
,8,198
health.csv,0,274
,1,426
,2,571
,3,732
,4,881
,5,1010
,6,1163
,7,1284
,8,1562
history.csv,0,116
,1,185
,2,258
,3,330
,4,404
,5,491
,6,596
,7,696
,8,930
law.csv,0,422
,1,676
,2,865
,3,1016
,4,1140
,5,1270
,6,1427
,7,1534
,8,1763
math.csv,0,184
,1,399
,2,607
,3,767
,4,891
,5,967
,6,1016
,7,1046
,8,1063
other.csv,0,154
,1,259
,2,360
,3,454
,4,569
,5,668
,6,758
,7,850
,8,1165
philosophy.csv,0,567
,1,684
,2,961
,3,1114
,4,1248
,5,1372
,6,1647
,7,1754
,8,2012
physics.csv,0,143
,1,233
,2,321
,3,395
,4,460
,5,499
,6,537
,7,565
,8,629
politics.csv,0,68
,1,111
,2,171
,3,212
,4,270
,5,337
,6,406
,7,479
,8,645
psychology.csv,0,163
,1,277
,2,356
,3,432
,4,521
,5,622
,6,735
,7,862
,8,1145
